,Title,Year,Rated,Released,Runtime,Genre,Director,Writer,Actors,Plot,Language,Country,Awards,Poster,Ratings,Metascore,imdbRating,imdbVotes,imdbID,Type,DVD,BoxOffice,Production,Website,Response,Error,totalSeasons
0,,,,,,,,,,,,,,,,,,,,,,,,,False,Movie not found!,
1,Loving Pablo,2017,R,15 Jun 2018,123 min,"Biography, Crime, Drama",Fernando León de Aranoa,"Fernando León de Aranoa, Virginia Vallejo (book)","Javier Bardem, Penélope Cruz, Peter Sarsgaard, Julieth Restrepo",A journalist strikes up a romantic relationship with notorious drug lord Pablo Escobar.,"English, Spanish","Spain, Bulgaria",1 win & 5 nominations.,https://m.media-amazon.com/images/M/MV5BMTAwODJhN2YtMzUwMy00ZjI1LTllNGYtNTA3YTk5MTEyY2M2XkEyXkFqcGdeQXVyMjQ3NzUxOTM@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.3/10'}, {'Source': 'Rotten Tomatoes', 'Value': '31%'}, {'Source': 'Metacritic', 'Value': '42/100'}]",42,6.3,"16,235",tt4682788,movie,05 Oct 2018,N/A,Universal Pictures,N/A,True,,
2,Zodiac,2007,R,02 Mar 2007,157 min,"Crime, Drama, Mystery, Thriller",David Fincher,"James Vanderbilt (screenplay), Robert Graysmith (book)","Jake Gyllenhaal, Mark Ruffalo, Anthony Edwards, Robert Downey Jr.","In the late 1960s/early 1970s, a San Francisco cartoonist becomes an amateur detective obsessed with tracking down the Zodiac Killer, an unidentified individual who terrorizes Northern California with a killing spree.",English,USA,3 wins & 70 nominations.,https://m.media-amazon.com/images/M/MV5BN2UwNDc5NmEtNjVjZS00OTI5LWE5YjctMWM3ZjBiZGYwMGI2XkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '89%'}, {'Source': 'Metacritic', 'Value': '78/100'}]",78,7.7,"422,308",tt0443706,movie,24 Jul 2007,"$33,000,000",Paramount Pictures,N/A,True,,
3,,,,,,,,,,,,,,,,,,,,,,,,,False,Movie not found!,
4,Knock Down the House,2019,PG,01 May 2019,87 min,Documentary,Rachel Lears,"Robin Blotnick, Rachel Lears","Alexandria Ocasio-Cortez, Cori Bush, Joe Crowley, Paula Jean Swearengin",A look at the people involved with various political campaigns during the 2018 U.S. congressional election.,English,USA,6 wins & 9 nominations.,https://m.media-amazon.com/images/M/MV5BOWU4NThhODYtN2Q2YS00YjQ0LWFjMDktMTdiYjYyYzlhNjY4XkEyXkFqcGdeQXVyMTU4MDMyNjk@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.9/10'}, {'Source': 'Rotten Tomatoes', 'Value': '100%'}, {'Source': 'Metacritic', 'Value': '80/100'}]",80,6.9,"9,227",tt9358052,movie,01 May 2019,N/A,Netflix,N/A,True,,
5,Baki,2018–,TV-MA,18 Dec 2018,45 min,"Animation, Action, Sport",N/A,N/A,"Tôru Furuya, Kirk Thornton, Troy Baker, Nobunaga Shimazaki","The protagonist, Baki Hanma, trains with an intense focus to become strong enough to surpass his father, Yujiro Hanma, the strongest fighter in the world.",Japanese,Japan,N/A,https://m.media-amazon.com/images/M/MV5BN2MyMzEwZTctOTJlYS00NzRkLTgyZjItN2U3MGI0YWVjNWU5XkEyXkFqcGdeQXVyMjY2MTc0MjA@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.7/10'}]",N/A,6.7,"2,266",tt6357658,series,,,,,True,,1
6,Anthony Jeselnik: Fire in the Maternity Ward,2019,TV-MA,30 Apr 2019,64 min,Comedy,Marcus Raboy,Anthony Jeselnik,Anthony Jeselnik,"Forging his own comedic boundaries, Anthony Jeselnik revels in getting away with saying things others can't in this stand-up special shot in New York.",English,USA,N/A,https://m.media-amazon.com/images/M/MV5BODU0NWE4OGItNDBiOS00OTc5LWFhY2EtNDkzMjhlNTkyMDYxXkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.1/10'}, {'Source': 'Rotten Tomatoes', 'Value': '80%'}]",N/A,7.1,"2,166",tt10050780,movie,30 Apr 2019,N/A,Netflix,N/A,True,,
7,Ingress: The Animation,2018–2019,N/A,18 Oct 2018,24 min,"Animation, Sci-Fi",N/A,N/A,"Kellen Goff, Cristina Valenzuela",Ingress (or Ingress: The Animation) is a 2018 Japanese anime television series based on Niantic's augmented reality mobile game of the same name. The story follows special police ...,"English, Japanese",Japan,N/A,https://m.media-amazon.com/images/M/MV5BYTk3MGM5ZWMtMDMxNi00ZTdlLThhOWMtNTczMmMyNGQ5YzI2XkEyXkFqcGdeQXVyMTkxOTE4Mzc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.6/10'}]",N/A,6.6,289,tt9561968,series,,,,,True,,1
8,The Wandering Earth,2019,TV-MA,05 Feb 2019,125 min,"Action, Drama, Sci-Fi",Frant Gwo,"Gong Geer, Junce Ye, Yan Dongxu, Frant Gwo, Yang Zhixue, Jingjing Shen, Cixin Liu (story), Ruchang Ye","Jing Wu, Chuxiao Qu, Guangjie Li, Man-Tat Ng","As the sun is dying out, people all around the world build giant planet thrusters to move Earth out of its orbit and sail Earth to a new star system. Yet the 2500-year journey comes with unexpected dangers, and in order to save humanity, a group of young people in this age of a wandering Earth fight hard for the survival of humankind.","Mandarin, English, Russian, French, Japanese, Korean, Indonesian, Hindi",China,23 wins & 21 nominations.,https://m.media-amazon.com/images/M/MV5BMjE2NzZlMGItMzA4OS00ZjRiLTk3NzItMDRkOGFlZmNhYzJkXkEyXkFqcGdeQXVyNzI1NzMxNzM@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.0/10'}, {'Source': 'Rotten Tomatoes', 'Value': '71%'}, {'Source': 'Metacritic', 'Value': '57/100'}]",57,6.0,"23,605",tt7605074,movie,N/A,N/A,Netflix,N/A,True,,
9,,,,,,,,,,,,,,,,,,,,,,,,,False,Movie not found!,
