,Title,Year,Rated,Released,Runtime,Genre,Director,Writer,Actors,Plot,Language,Country,Awards,Poster,Ratings,Metascore,imdbRating,imdbVotes,imdbID,Type,DVD,BoxOffice,Production,Website,Response,totalSeasons,Error
0,Hjørdis,2015–,N/A,N/A,26 min,Family,N/A,N/A,"Lise Baastrup, Martin Brygmann, Ellen Hillingsø, Nicky Andersen","This miniseries spinoff of ""Rita"" follows teacher Hjørdis as she plans a school play on bullying featuring a cast of socially awkward students.",Danish,Denmark,N/A,https://m.media-amazon.com/images/M/MV5BOTM1MzI3MDU2NV5BMl5BanBnXkFtZTgwODQ5NDgwNzE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.3/10'}]",N/A,7.3,498,tt4057466,series,,,,,True,1,
1,,,,,,,,,,,,,,,,,,,,,,,,,False,,Series not found!
2,Ralphie May: Imperfectly Yours,2013,N/A,N/A,N/A,"Documentary, Comedy",Anthony Pierce,Ralphie May,Ralphie May,"Comedian Ralphie May takes to the Las Vegas stage with his raw, rollicking take on men's fashion, racism, sex and even waffles.",English,USA,N/A,https://m.media-amazon.com/images/M/MV5BNWQzMTJjNGEtYjcxOS00OTdkLWJmOWQtODMxZjM4MzU1NjUwXkEyXkFqcGdeQXVyNjE3MjQyNQ@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.6/10'}]",N/A,5.6,110,tt3216296,movie,N/A,N/A,N/A,N/A,True,,
3,"What Happened, Miss Simone?",2015,Not Rated,24 Jun 2015,101 min,"Documentary, Biography, Music",Liz Garbus,N/A,"Nina Simone, Lisa Simone Kelly, Roger Nupie, Al Schackman","A documentary about the life and legend Nina Simone, an American singer, pianist, and civil rights activist labeled the ""High Priestess of Soul.""","English, French",USA,Nominated for 1 Oscar. Another 6 wins & 19 nominations.,https://m.media-amazon.com/images/M/MV5BZmY0ODI4NDgtNDE4Ni00ZTAzLTkwMzQtYmEwYjMxMWJhNTAzXkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.6/10'}, {'Source': 'Rotten Tomatoes', 'Value': '89%'}, {'Source': 'Metacritic', 'Value': '75/100'}]",75,7.6,"10,915",tt4284010,movie,02 Sep 2016,N/A,Netflix,N/A,True,,
4,Advantageous,2015,Not Rated,23 Jun 2015,90 min,"Drama, Family, Sci-Fi",Jennifer Phang,"Jacqueline Kim, Jennifer Phang","Jacqueline Kim, James Urbaniak, Freya Adams, Ken Jeong","In a near-future city where soaring opulence overshadows economic hardship, Gwen and her daughter Jules do all they can to hold on to their joy together, despite the instability surfacing in their world.","English, French",USA,7 wins & 3 nominations.,https://m.media-amazon.com/images/M/MV5BMjE2OTMzNjQxOV5BMl5BanBnXkFtZTgwMTM5MjE1NjE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.2/10'}, {'Source': 'Rotten Tomatoes', 'Value': '85%'}, {'Source': 'Metacritic', 'Value': '59/100'}]",59,6.2,"4,174",tt3090670,movie,N/A,N/A,Film Presence,N/A,True,,
5,Wet Hot American Summer,2001,R,11 Apr 2002,97 min,"Comedy, Romance",David Wain,"Michael Showalter, David Wain","Janeane Garofalo, David Hyde Pierce, Michael Showalter, Marguerite Moreau","Set on the last day of camp, in the hot summer of 1981, a group of counselors try to complete their unfinished business before the day ends.",English,USA,1 nomination.,https://m.media-amazon.com/images/M/MV5BZjdjYjlhNTctNDY0Yi00ZTM4LWE1MWItYWUzNmYwYWU0OTI4XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.6/10'}, {'Source': 'Rotten Tomatoes', 'Value': '36%'}, {'Source': 'Metacritic', 'Value': '42/100'}]",42,6.6,"52,034",tt0243655,movie,08 Jan 2002,N/A,USA Films,N/A,True,,
6,Hot Girls Wanted,2015,N/A,29 May 2015,84 min,Documentary,"Jill Bauer, Ronna Gradus",Brittany Huckabee,"Farrah Laurel Abraham, John Anthony, Rachel Bernard, Carrie Brooks",A documentary about young women who have been drawn into the sex trade - and how easy it is for a web-savvy generation to end up making porn.,English,USA,Nominated for 1 Primetime Emmy. Another 1 nomination.,https://m.media-amazon.com/images/M/MV5BMTcyMjU5NjAwN15BMl5BanBnXkFtZTgwOTM1MTc4NTE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.1/10'}, {'Source': 'Rotten Tomatoes', 'Value': '82%'}]",N/A,6.1,"14,708",tt4382552,movie,N/A,N/A,N/A,N/A,True,,
7,,,,,,,,,,,,,,,,,,,,,,,,,False,,Movie not found!
8,The Other One,2014,N/A,04 Apr 2014,94 min,"Drama, Horror, Mystery",Josef Steiff,"Jesse Bob Harper (story), Grace McPhillips (story), Nancy Sellers (story), Josef Steiff (story), Josef Steiff","Grace McPhillips, Nancy Sellers, Jesse Bob Harper, Caitlin Bidwell","A drama with supernatural influences, The Other One follows a young woman named Amber who has returned to her childhood home, caring for her mother now in the throes of dementia and haunted...",English,USA,5 wins & 1 nomination.,https://m.media-amazon.com/images/M/MV5BNDY3NDU1MzMzNl5BMl5BanBnXkFtZTgwMDg5NjA0MDE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.4/10'}]",N/A,6.4,66,tt2917566,movie,08 Sep 2015,N/A,Indican Pictures,N/A,True,,
9,The Hunger Games,2012,PG-13,23 Mar 2012,142 min,"Action, Adventure, Sci-Fi, Thriller",Gary Ross,"Gary Ross (screenplay), Suzanne Collins (screenplay), Billy Ray (screenplay), Suzanne Collins (novel)","Stanley Tucci, Wes Bentley, Jennifer Lawrence, Willow Shields",Katniss Everdeen voluntarily takes her younger sister's place in the Hunger Games: a televised competition in which two teenagers from each of the twelve Districts of Panem are chosen at random to fight to the death.,English,USA,Nominated for 1 Golden Globe. Another 33 wins & 47 nominations.,https://m.media-amazon.com/images/M/MV5BMjA4NDg3NzYxMF5BMl5BanBnXkFtZTcwNTgyNzkyNw@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.2/10'}, {'Source': 'Rotten Tomatoes', 'Value': '84%'}, {'Source': 'Metacritic', 'Value': '68/100'}]",68,7.2,"814,493",tt1392170,movie,18 Aug 2012,"$407,981,652",Lionsgate,N/A,True,,
